时间,经度,纬度,GPS状态
14:6:32,30.501983993333333,114.42899803166667,5
14:6:33,30.5019841,114.42899805333333,5
14:6:34,30.501984205,114.42899803666667,5
14:6:35,30.501984298333333,114.42899800666666,5
14:6:36,30.501984328333332,114.42899802666666,5
14:6:37,30.501984353333334,114.42899801833333,5
14:6:38,30.501984436666667,114.428997635,5
14:6:39,30.50198449333333,114.428997275,5
14:6:40,30.501984566666668,114.42899696666667,5
14:6:41,30.501984701666668,114.42899706833333,5
14:6:42,30.50198483,114.42899708,5
14:6:43,30.501984983333333,114.42899710333333,5
14:6:44,30.501985003333335,114.42899694333333,5
14:6:45,30.501985191666666,114.42899697,5
14:6:46,30.501985381666668,114.428997005,5
14:6:47,30.50198545,114.42899694333333,5
14:6:48,30.501985563333335,114.42899690666667,5
14:6:49,30.501985671666667,114.42899687666667,5
14:6:50,30.501985763333334,114.42899683,5
14:6:51,30.501985861666668,114.42899678333333,5
14:6:52,30.50198597,114.42899676,5
14:6:53,30.501986073333335,114.42899672333333,5
14:6:54,30.501986166666665,114.42899668666666,5
14:6:55,30.501986256666665,114.42899663833333,5
14:6:56,30.501986333333335,114.42899655,5
14:6:57,30.501986381666665,114.42899647166666,5
14:6:58,30.501986435,114.428996425,5
14:6:59,30.501986466666665,114.428996395,5
14:7:0,30.501986498333334,114.42899634166666,5
14:7:1,30.50198658,114.42899636333334,5
14:7:2,30.501986641666665,114.42899636,5
14:7:3,30.501986611666666,114.42899619,5
14:7:4,30.501986585,114.428996065,5
14:7:5,30.501986591666668,114.42899597166667,5
14:7:6,30.5019866,114.42899588333333,5
14:7:7,30.501986548333335,114.42899586,5
14:7:8,30.50198636,114.42899589333334,5
14:7:9,30.501986178333333,114.42899580833334,5
14:7:10,30.501985983333334,114.42899571,5
14:7:11,30.5019858,114.42899564333334,5
14:7:12,30.501985785,114.42899562,5
14:7:13,30.501985516666668,114.42899577333333,5
14:7:14,30.501985456666667,114.428995765,5
14:7:15,30.501985403333332,114.42899580166667,5
14:7:16,30.50198516,114.42899596,5
14:7:17,30.501984893333333,114.42899611666667,5
14:7:18,30.501984633333333,114.42899630333334,5
14:7:19,30.501984441666668,114.428996465,5
14:7:20,30.501984288333333,114.42899661,5
14:7:21,30.50198418,114.42899673833334,5
14:7:22,30.501984186666668,114.42899676666667,5
14:7:23,30.501984273333335,114.42899678166667,5
14:7:24,30.50198434,114.42899675,5
14:7:25,30.501984423333333,114.42899656166666,5
14:7:26,30.501984483333334,114.42899652333334,5
14:7:27,30.501984543333332,114.42899652,5
14:7:28,30.501984563333334,114.428996545,5
14:7:29,30.501984565,114.42899652,5
14:7:30,30.501984545,114.428996685,5
14:7:31,30.501984556666667,114.42899674666667,5
14:7:32,30.501984596666667,114.42899684166666,5
14:7:33,30.501984643333333,114.428996885,5
14:7:34,30.501984701666668,114.428996845,5
14:7:35,30.501984775,114.42899676,5
14:7:36,30.501984875,114.42899666833334,5
14:7:37,30.50198499,114.42899668333334,5
